,Model,p-value (Pearson),p_value ≤ 0.05 (Pearson),p-value (Spearman),p_value ≤ 0.05 (Spearman)
0,AdaBoostRegressor,0.9450221612250879,False,0.6044454737353747,False
1,BaggingRegressor,0.964566583194395,False,0.6452969916094771,False
2,BayesianRidge,0.6657031997144401,False,0.8243766628144755,False
3,DecisionTreeRegressor,0.5310144274620203,False,0.1429624343630321,False
4,ElasticNet,0.9976504930919161,False,0.9764706616132752,False
5,ElasticNetCV,0.9687880342909592,False,0.9684532509620392,False
6,ExtraTreeRegressor,0.9314180062024878,False,0.6095095238417305,False
7,ExtraTreesRegressor,0.9048984605839943,False,0.9452415846239319,False
8,GammaRegressor,0.8710206291638862,False,0.8600805679925698,False
9,GaussianProcessRegressor,0.8831235342855088,False,0.9021227558082292,False
10,GradientBoostingRegressor,0.7856694347449006,False,0.8096910216808956,False
11,HistGradientBoostingRegressor,0.7983531941323116,False,0.6479242056032565,False
12,HuberRegressor,0.4835824128785774,False,0.4142387060439906,False
13,KNeighborsRegressor,0.9925403397196788,False,0.8919850369036615,False
14,KernelRidge,0.6467484511929402,False,0.7753767163425297,False
15,LGBMRegressor,0.7318730715247019,False,0.7885203990317879,False
16,Lars,0.37911215648032026,False,0.3624715678504345,False
17,LarsCV,0.9106243736798162,False,0.9301814213102996,False
18,LassoCV,0.8349523728931914,False,0.56588175077142,False
19,LassoLarsCV,0.8477285771302249,False,0.6039329572196503,False
20,LassoLarsIC,0.6462471709406531,False,0.45994118023303787,False
21,LinearRegression,0.5877089541626466,False,0.50949076865239,False
22,LinearSVR,0.5441039268564413,False,0.6460053552265597,False
23,MLPRegressor,0.9953065138905326,False,0.8353321911591687,False
24,NuSVR,0.9795681493496298,False,0.88284090271697,False
25,OrthogonalMatchingPursuit,0.7780583335645115,False,0.6465699971386578,False
26,OrthogonalMatchingPursuitCV,0.9121832054010731,False,0.7799865575179725,False
27,PassiveAggressiveRegressor,0.7837970572988517,False,0.9555291344981048,False
28,PoissonRegressor,0.9027487195044934,False,0.8269810721655603,False
29,RANSACRegressor,0.286219506303399,False,0.4976614246014428,False
30,RandomForestRegressor,0.9570574556926538,False,0.8513740346983538,False
31,Ridge,0.6467484511962255,False,0.7753767163425297,False
32,RidgeCV,0.6143545511326329,False,0.6341340483708925,False
33,SGDRegressor,0.8568234022509128,False,0.9231898240048009,False
34,SVR,0.9690684641075877,False,0.8840785721540546,False
35,TransformedTargetRegressor,0.5877089541626466,False,0.50949076865239,False
36,TweedieRegressor,0.9322031322701965,False,0.8712466864360888,False
37,XGBRegressor,0.8243304119865025,False,0.9896196703003406,False
